Subject,START DATE,START TIME,DESCRIPTION,LOCATION,PRIVATE
Varsity at Portsmouth East (S),3/16/2019,12:00,Bus @ 9:30:00 AM,Portsmouth East HS,FALSE
Varsity vs Chillicothe (S),3/18/2019,17:00,-,Adena HS,FALSE
Varsity at Waverly (S),3/20/2019,16:30,Bus @ 3:30:00 PM,VA Memorial,FALSE
Varsity vs Hillsboro (1),3/23/2019,13:00,-,Adena HS,FALSE
Varsity vs Lebanon HS,3/27/2019,19:00,Bus @ 5:45:00 PM,VA Memorial,FALSE
Varsity vs Pickerington Central,3/29/2019,18:30,Bus @ 5:15:00 PM,VA Memorial,FALSE
Varsity at Westfall,4/1/2019,17:00,Bus @ 3:30:00 PM,Westfall HS,FALSE
Varsity vs Zane Trace,4/3/2019,17:00,-,Adena HS,FALSE
Varsity vs Huntington,4/5/2019,17:00,-,Adena HS,FALSE
Varsity at Circleville (1),4/6/2019,11:00,Bus @ 9:30:00 AM,Circleville HS,FALSE
Varsity at Paint Valley,4/8/2019,17:00,Bus @ 3:45:00 PM,Paint Valley HS,FALSE
Varsity at Piketon,4/10/2019,17:00,Bus @ 3:15:00 PM,Piketon HS,FALSE
Varsity vs Washington,4/11/2019,19:30,Bus @ 6:15:00 PM,VA Memorial,FALSE
Varsity vs Southeastern,4/12/2019,17:00,-,Adena HS,FALSE
Varsity Little Hearts Big Smiles (Fairfield Leesburg),4/13/2019,10:00,Bus @ tbd,VA Memorial,FALSE
Varsity at Unioto,4/15/2019,17:00,Bus @ 3:45:00 PM,Unioto HS,FALSE
Varsity vs Westfall,4/17/2019,17:00,-,Adena HS,FALSE
Varsity vs Jackson,4/18/2019,19:30,Bus @ 6:00:00 PM,VA Memorial,FALSE
Good Friday,4/19/2019,,,Good Friday,FALSE
Easter,4/21/2019,,,Easter,FALSE
Varsity at Zane Trace,4/22/2019,17:00,Bus @ 3:30:00 PM,Zane Trace HS,FALSE
Varsity at Huntington,4/24/2019,17:00,Bus @ 3:30:00 PM,Huntington HS,FALSE
Varsity vs Paint Valley,4/26/2019,17:00,-,Adena HS,FALSE
Varsity vsMinford DH,4/27/2019,,,,FALSE
Tournament Draw,4/28/2019,,,,FALSE
Varsity vs Piketon,4/29/2019,17:00,-,Adena HS,FALSE
Varsity at Wheelersburg,4/30/2019,17:30,Bus @ 3:30:00 PM,Wheelersburg HS,FALSE
Varsity at Southeastern,5/1/2019,,,Southeastern HS,FALSE
Varsity at Washington,5/2/2019,17:00,Bus @ 3:30:00 PM,Washington HS,FALSE
Varsity vs Unioto,5/3/2019,,,Adena HS,FALSE
Adena Prom - NO GAMES,5/4/2019,,,,FALSE
Varsity vs Logan Elm,5/7/2019,17:00,,Adena HS,FALSE
Varsity at Chillicothe (1),5/11/2019,11:00,Bus @ 9:45:00 AM,Chillicothe HS,FALSE
JV at Chillicothe (S),Chillicothe HS,3/18/2019,17:00,Bus @ 3:30:00 PM,FALSE
JV at Waverly (S),Waverly HS,3/20/2019,17:00,Bus @ 3:30:00 PM,FALSE
JV vs Gallia Academy (S),Adena HS,3/21/2019,17:30,-,FALSE
JV vs Hillsboro (1),Adena HS,3/23/2019,10:00,-,FALSE
JV vs Miami Trace,Adena HS,3/25/2019,17:00,-,FALSE
JV vs Wheelersburg,Adena HS,3/28/2019,17:30,-,FALSE
JV at Wheelersburg (DH),Wheelersburg HS,3/30/2019,12:00,,FALSE
JV vs Westfall,Adena HS,4/1/2019,17:00,-,FALSE
JV at Zane Trace,Zane Trace HS,4/3/2019,17:00,,FALSE
JV at Huntington,Huntington HS,4/5/2019,17:00,,FALSE
JV vs Circleville (1),Adena HS,4/6/2019,11:00,-,FALSE
JV vs Paint Valley,Adena HS,4/8/2019,17:00,-,FALSE
JV at Washington,Washington HS,4/9/2019,17:00,Bus @ 3:45:00 PM,FALSE
JV vs Piketon,Adena HS,4/10/2019,17:00,-,FALSE
JV at Southeastern,Southeastern HS,4/12/2019,17:00,,FALSE
JV at Farm Team Wooden Bat Classic,Portsmouth West HS,4/13/2019,,,FALSE
JV vs Unioto,Adena HS,4/15/2019,17:00,-,FALSE
JV at Westfall,Westfall HS,4/17/2019,17:00,,FALSE
Good Friday,,4/19/2019,,,FALSE
Easter,,4/21/2019,,,FALSE
JV vs Zane Trace,Adena,4/22/2019,17:00,-,FALSE
JV vs Huntington,Adena,4/24/2019,17:00,-,FALSE
JV at Miami Trace,Miami Trace HS,4/25/2019,17:00,Bus @ 3:45:00 PM,FALSE
JV at Paint Valley,Paint Valley HS,4/26/2019,17:00,,FALSE
NO JV GAMES,,4/27/2019,,,FALSE
JV at Piketon,Piketon HS,4/29/2019,17:00,,FALSE
JV vs Wheelersburg,Adena HS,4/30/2019,17:30,-,FALSE
JV vs Southeastern,Adena HS,5/1/2019,,-,FALSE
JV vs Washington,Adena HS,5/2/2019,17:00,-,FALSE
JV at Unioto,Unioto HS,5/3/2019,,,FALSE
Adena Prom,No Games,5/4/2019,,,FALSE
JV at Logan Elm,Logan Elm HS,5/7/2019,17:00,Bus @ 3:30:00 PM,FALSE
JV vs Chillicothe,Adena HS,5/11/2019,11:00,-,FALSE
Future Warriors Showcase,Adena HS,5/12/2019,14:00,,FALSE
